ExperimentNums : LastGenerationNums : FitnessResults : NumOfDiskettes
1 : 1094 : 0.0 : 6
2 : 24 : 0.0 : 6
3 : 248 : 0.0 : 6
4 : 13 : 0.0 : 6
5 : 206 : 0.0 : 6
6 : 50 : 0.0 : 6
7 : 5 : 0.0 : 6
8 : 1235 : 0.0 : 6
9 : 218 : 0.0 : 6
10 : 981 : 0.0 : 6
11 : 11 : 0.0 : 6
12 : 490 : 0.0 : 6
13 : 218 : 0.0 : 6
14 : 166 : 0.0 : 6
15 : 531 : 0.0 : 6
16 : 63 : 0.0 : 6
17 : 420 : 0.0 : 6
18 : 3097 : 0.0 : 6
19 : 372 : 0.0 : 6
20 : 97 : 0.0 : 6
