ExperimentNums : LastGenerationNums : FitnessResults : NumOfDiskettes
1 : 277295 : 0.0 : 10
2 : 135807 : 0.0 : 10
3 : 327288 : 0.0 : 10
4 : 389053 : 0.0 : 10
5 : 40069 : 0.0 : 10
6 : 373119 : 0.0 : 10
7 : 900000 : 0.018518518518518517 : 10
8 : 30601 : 0.0 : 10
9 : 900000 : 0.016203703703703703 : 10
10 : 82696 : 0.0 : 10
11 : 445240 : 0.0 : 10
12 : 40606 : 0.0 : 10
13 : 178444 : 0.0 : 10
14 : 176413 : 0.0 : 10
15 : 900000 : 0.013020833333333334 : 10
16 : 85920 : 0.0 : 10
17 : 119625 : 0.0 : 10
18 : 900000 : 0.018229166666666668 : 10
19 : 825093 : 0.0 : 10
20 : 827007 : 0.0 : 10
